회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
코다코,046070,자동차 부품 제조업,"Oil Pump, Throttle Body",2000-12-26,12월,인귀승,http://www.kodaco.co.kr,충청남도
인바디,041830,의료용 기기 제조업,정밀 체성분 분석기,2000-12-14,12월,차기철,http://www.biospace.co.kr,서울특별시
고려제약,014570,의약품 제조업,"하벤(종합감기약),뉴로메드(치매치료제)등 70여종",2000-12-07,12월,"박해룡, 박상훈 (각자대표)",http://www.nicepharma.com,경기도
크린앤사이언스,045520,"펄프, 종이 및 판지 제조업",자동차용 여과지,2000-12-05,12월,곽규범,http://www.cands.co.kr,서울특별시
포스코 ICT,022100,"건축기술, 엔지니어링 및 관련기술 서비스업","SI(System Integration), DVR(Digital Video Recorder)",2000-11-28,12월,최 두 환,http://www.poscoict.co.kr,경상북도
이젠텍,033600,자동차 부품 제조업,김치냉장고부품,2000-11-21,12월,이배근,http://www.ezentech.co.kr,경기도
KD건설,044180,건물 건설업,몰드베이스(Mold Base),2000-11-16,12월,이상철,http://dymoldtech.co.kr,경기도
이-글 벳,044960,의약품 제조업,"아바텍,아목사실린사 등",2000-11-16,12월,"강승조, 강태성(각자 대표이사)",http://www.eaglevet.com,충청남도
아즈텍WB,032080,"섬유제품 염색, 정리 및 마무리 가공업",직물,2000-10-26,12월,허 재 명,http://www.AZTECHWB.co.kr,부산광역시
오리콤,010470,광고업,광고대행,2000-10-24,12월,고영섭,http://www.oricom.co.kr,서울특별시
위닉스,044340,가정용 기기 제조업,일반목적용 기계제조업,2000-10-24,12월,"윤희종, 윤철민",http://www.e-winix.co.kr,경기도
르네코,042940,전기 및 통신 공사업,"정보통신망 구축, DVR, ITS, 기타방송장비 등",2000-10-19,12월,신동걸,http://www.leneco.com,경기도
엔피케이,048830,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱물질 제조업,2000-10-12,12월,최상건,http://www.npk.co.kr,경기도
삼천당제약,000250,의약품 제조업,"세프메타졸, 파클캅셀, 네틸마이신",2000-10-04,12월,"윤대인, 박전교(각자 대표이사)",http://www.scd.co.kr,경기도
에이치케이,044780,특수 목적용 기계 제조업,레이저가공 절단기,2000-09-07,12월,계명재,http://www.hankwang.co.kr,경기도
정원엔시스,045510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SI(시스템통합) 관련 소프트웨어, 중.대형 고속 레이져 프린터",2000-09-07,12월,"이기복, 백천일(각자 대표)",http://www.zungwon.co.kr,서울특별시
한양이엔지,045100,"건축기술, 엔지니어링 및 관련기술 서비스업",반도체배관설비,2000-08-31,12월,"김형육,김범상",http://www.hanyangkorea.com,경기도
누리텔레콤,040160,소프트웨어 개발 및 공급업,"NASCenter2000(전산자원통합관리시스템),PowerAMR(자동원격검침장치)",2000-08-29,12월,조송만,http://www.nuritelecom.com,서울특별시
에쎈테크,043340,일반 목적용 기계 제조업,LPG밸브,2000-08-29,12월,"조시영,김홍근",http://www.essentech.co.kr,인천광역시
국순당,043650,알콜음료 제조업,탁주 및 약주,2000-08-24,12월,배중호,http://www.ksdb.co.kr,강원도
엘컴텍,037950,전자부품 제조업,"BLU(Back Light Unit), CCM(Compact Camera Module), Display용 EL",2000-08-24,12월,법율상관리인 대표이사 김영민,http://www.elcomtec.co.kr,경기도
이오테크닉스,039030,특수 목적용 기계 제조업,레이저 마커 및 레이저 응용기기,2000-08-24,12월,성규동,http://www.eotechnics.com,경기도
서울제약,018680,의약품 제조업,"정제,연질캅셀제,경질캅셀제,연고 및 크림제 등",2000-08-18,12월,김정호,http://www.seoulpharma.com,경기도
텍셀네트컴,038540,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",전자계전기(RELAY),2000-08-18,12월,"김진수, 유준원(각자 대표이사)",http://www.texcell-netcom.co.kr,서울특별시
나노엔텍,039860,의료용 기기 제조업,의료기기 및 실험기기,2000-08-16,12월,김명립,http://www.nanoentek.com,서울특별시
파나진,046210,의료용품 및 기타 의약관련제품 제조업,의료용품및 기타 의약관련 제품 제조업,2000-08-16,12월,김성기,http://www.panagene.com,대전광역시
오공,045060,기타 화학제품 제조업,"접착제,씰란트,광택제,연마제",2000-08-10,12월,"김윤정, 조한창",http://www.okong.com,인천광역시
솔고바이오,043100,의료용 기기 제조업,"가정용 온열치료기,의료기구",2000-08-08,12월,"김서곤, 김일(각자대표)",http://www.solco.co.kr,경기도
현대정보기술,026180,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",시스템통합(SI) 및 운영(SM),2000-08-08,12월,마용득,http://www.hit.co.kr,서울특별시
비츠로테크,042370,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","차단기, 개폐기",2000-08-03,06월,"장순상,유병언,이병호(각자대표)",http://www.vitzrotech.com,경기도
코아시아홀딩스,045970,"회사본부, 지주회사 및 경영컨설팅 서비스업",디지털 컨텐츠 저작솔루션 판매 사업,2000-08-03,12월,이희준,http://www.bsecm.com,인천광역시
정상제이엘에스,040420,일반 교습 학원,어학교육업,2000-08-01,12월,박 상 하,http://www.gojls.com,서울특별시
진양제약,007370,의약품 제조업,"소부날, 옥티란",2000-07-27,12월,최재준,http://www.jinyangpharm.co.kr,서울특별시
넥슨지티,041140,소프트웨어 개발 및 공급업,게임소프트웨어개발 공급,2000-07-25,12월,김정준,http://www.gamehi.net,경기도
위노바,039790,기타 화학제품 제조업,"전자파장해 대책부품(쉴드폼, 디스펜싱개스켓 등)",2000-07-25,12월,"김병권, 김다섭",http://www.winnova.co.kr,경기도
KT뮤직,043610,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",유무선 음악포털서비스,2000-07-20,12월,김성욱,http://www.ktmusic.co.kr,서울특별시
진성티이씨,036890,특수 목적용 기계 제조업,트랙롤라. 플로팅 씰,2000-07-20,12월,"윤우석,윤성수(공동대표이사)",http://www.jinsungtec.com,경기도
현대통신,039010,통신 및 방송 장비 제조업,홈오토메이션 제조,2000-07-20,12월,이건구,http://www.hyundaitel.com,서울특별시
삼아제약,009300,의약품 제조업,"노마에프, 아토크건조시럽, 코데날정, 코코시럽, 스마엘",2000-07-19,12월,"허 준, 허미애 (각자 대표이사)",http://www.samapharm.co.kr,강원도
파루,043200,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","온습도 조절기(에어쿨), 무인방제기(야호)",2000-07-19,12월,강문식,http://www.paru.co.kr,전라남도
에스씨디,042110,가정용 기기 제조업,전자렌지용 MOTOR 및 냉장고용 TIMER,2000-07-13,12월,오길호,http://www.sscd.co.kr,경기도
한국정보공학,039740,기타 전문 도매업,"그룹웨어, 자료관리시스템",2000-07-06,12월,정순암,http://www.kies.co.kr,경기도
디오,039840,의료용 기기 제조업,자동포장기계,2000-06-29,12월,김진철,http://dio.co.kr,부산광역시
네오위즈홀딩스,042420,"회사본부, 지주회사 및 경영컨설팅 서비스업",지주사업,2000-06-27,12월,나성균,http://www.neowiz.com,경기도
다산네트웍스,039560,통신 및 방송 장비 제조업,네트워크 통신장비,2000-06-22,12월,남민우,http://www.dasannetworks.com,경기도
바이오스마트,038460,전자부품 제조업,"M/S 카드제조업, IC 카드제조, 카드장비판매",2000-06-22,12월,윤호권,http://www.bio-smart.com,서울특별시
우리기술,032820,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","시스템사업, 정보통신사업",2000-06-22,12월,노갑선,http://www.wooritg.com,서울특별시
폭스브레인,039230,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체 검사장비, TFT-LCD 검사장치& 검사장비",2000-06-22,12월,성봉두,http://tscmemsys.com,서울특별시
안국약품,001540,의약품 제조업,"그랑파제, 토비콤-S",2000-06-15,12월,"어준선, 어진",http://www.ahn-gook.com,서울특별시
세중,039310,여행사 및 기타 여행보조 서비스업,나모웹에디터,2000-06-09,12월,천세전,http://www.sejoong.com,서울특별시
우리기술투자,041190,기타 금융업,창업자에 대한 투자 및 융자,2000-06-09,12월,"정만회, 이정훈",http://www.wooricapital.com,서울특별시
코아크로스,038530,통신 및 방송 장비 제조업,"주문형반도체, IMT-2000 Modem Chip 등",2000-06-09,12월,"임정환, 문병철 (각자 대표이사)",http://www.corecross.com,경상북도
HRS,036640,합성고무 및 플라스틱 물질 제조업,실리콘 컴파운드제품 제조,2000-05-30,12월,강성자,http://www.hrssilicone.com,경기도
에스에이엠티,031330,기계장비 및 관련 물품 도매업,"반도체(메모리,비메모리), CPU, TFT-LCD, 네트웍 장비, PC 및 주변기기, 이동통신수탁사업",2000-05-23,12월,성재생,http://www.isamt.com,서울특별시
NICE평가정보,030190,기타 정보 서비스업,"개인 및 기업정보,솔루션",2000-05-16,12월,심의영,http://www.niceinfo.co.kr,서울특별시
위즈코프,038620,연료 소매업,인터넷 인프라 및 응용,2000-05-04,12월,정승환,http://www.wizit.com,서울특별시
이건창호,039020,"구조용 금속제품, 탱크 및 증기발생기 제조업",창호,2000-05-04,12월,안기명,http://www.eagon.com,인천광역시
파인디지털,038950,통신 및 방송 장비 제조업,"원격 RF 감시장치, 디지털 광 중계기, 노드분배기",2000-05-04,12월,김용훈,http://www.finedigital.com,경기도
나이스정보통신,036800,전기통신업,카드 VAN사업,2000-05-03,12월,홍우선,http://www.nicevan.co.kr,서울특별시
SG&G,040610,자동차 부품 제조업,생활정보신문,2000-04-27,12월,이 의 범,http://www.sgng.com,경기도
아이에이,038880,전자부품 제조업,자동차용 반도체,2000-04-27,12월,"김동진, 최찬호 (각자 대표이사)",http://www.ia-inc.kr,서울특별시
에스넷,038680,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","네트워크장비 설치 및 납품, 유지보수",2000-04-27,12월,윤상화,http://www.snetsystems.co.kr,서울특별시
에스엠,041510,오디오물 출판 및 원판 녹음업,"음반(CD,MC),연예 대리",2000-04-27,12월,김영민,http://www.smtown.com,서울특별시
쌍용정보통신,010280,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템통합(SI),네트워크 설계 및 구축,시스템운영(SM)",2000-04-14,12월,김승기,http://www.sicc.co.kr,서울특별시
쎄니트,037760,1차 철강 제조업,스테인레스 냉연강판,2000-04-07,12월,"최재관, 박승배(각자대표)",http://www.cenit.kr,경상남도
대성미생물,036480,의약품 제조업,"동물용 의약품, 미생물제재",2000-04-04,12월,조항원,http://www.dsmbio.com,경기도
에코플라스틱,038110,자동차 부품 제조업,BUMPER 및 자동차TRIM류,2000-03-23,12월,"서영종,김영석",http://WWW.AP.CO.KR,경상북도
제이콘텐트리,036420,광고업,"신문, 피혁의류",2000-03-23,12월,"반용음, 윤경혜",http://www.jcontentree.com,서울특별시
케이엠더블유,032500,통신 및 방송 장비 제조업,RF 부품 및 중계기,2000-03-21,12월,김덕용,http://www.kmwinc.com,경기도
화성,039610,일반 목적용 기계 제조업,"가스밸브, 매몰용접용 볼밸브, 온수분배기",2000-03-16,03월,"장원규, 장성필(각자대표)",http://www.hsvalve.com,대구광역시
경남스틸,039240,1차 철강 제조업,"냉연강판,아연도강판, 산세코일, 열연아연도금강판, 전기아연도금강판 등",2000-03-07,12월,최충경,http://www.ksteel.co.kr,경상남도
마크로젠,038290,"그외 기타 전문, 과학 및 기술 서비스업","DNA Sequencing, Microarray, Genetically Engineered Mouse",2000-02-22,12월,정현용,http://www.macrogen.com,서울특별시
희림,037440,"건축기술, 엔지니어링 및 관련기술 서비스업",설계 및 감리용역,2000-02-03,12월,"정영균, 이목운, 황의표(각자대표)",http://www.heerim.com,서울특별시
레드캡투어,038390,여행사 및 기타 여행보조 서비스업,"S/W개발 및 공급, DB개발",2000-02-01,12월,표영수,http://ir.redcaptour.com,서울특별시
GS홈쇼핑,028150,텔레비전 방송업,CATV홈쇼핑,2000-01-20,12월,허태수,http://company.gsshop.com,서울특별시
솔브레인,036830,기타 화학제품 제조업,"반도체,디스플레이,2차전지 공정용 화학제품",2000-01-18,12월,정지완,http://soulbrain.co.kr,경기도
에프에스티,036810,전자부품 제조업,"펠리클(반도체부품),칠러장비,반도체유통",2000-01-18,12월,"장명식,유장동,유삼태",http://www.fstc.co.kr,경기도
코맥스,036690,통신 및 방송 장비 제조업,"홈네트워크시스템,CCTV 방송설비",2000-01-18,12월,변봉덕,http://www.commax.com,경기도
EG,037370,기타 전문 도매업,"산화철, 대기수처리방지시설, 무역",2000-01-11,12월,문경환,http://www.egcorp.co.kr,충청남도
버추얼텍,036620,기타 전문 도매업,"고지유통, ERP시스템 운영",2000-01-11,12월,서지현,http://www.virtualtek.co.kr,서울특별시
성도이엔지,037350,"건축기술, 엔지니어링 및 관련기술 서비스업","반도체크린룸 시공, 반도체장비제조",2000-01-11,12월,"서인수, 강창열(각자대표이사)",http://www.sungdokorea.com,서울특별시
제일테크노스,038010,"구조용 금속제품, 탱크 및 증기발생기 제조업",DECK PKATE,2000-01-11,12월,나주영,,경상북도
무림SP,001810,"펄프, 종이 및 판지 제조업","아트지,CCP지",2000-01-04,12월,김석만,http://www.moorim.co.kr,서울특별시
세종텔레콤,036630,전기통신업,WLL/GPS/위성DMB/VoIP 단말기,2000-01-04,12월,"서종렬, 정진우(각자대표)",http://www.sejongtelecom.net,서울특별시
심텍홀딩스,036710,전자부품 제조업,반도체용 인쇄회로기판,2000-01-04,12월,박광준,http://www.simmtech.co.kr,충청북도
파세코,037070,가정용 기기 제조업,"석유스토브, 식기건조기,식기세척기",2000-01-04,12월,유일한,http://www.paseco.co.kr,경기도
영풍정밀,036560,일반 목적용 기계 제조업,"펌프, 벨브, 공사,주조 등",1999-12-28,12월,"최창규, 조성학",http://www.yppc.co.kr,서울특별시
이테크건설,016250,건물 건설업,"건축공사, 플랜트설비, 토목공사",1999-12-28,12월,"이복영, 안찬규",http://www.etecenc.com,서울특별시
KTH,036030,전기통신업,"푸딩시리즈,아임IN 등 모바일서비스",1999-12-24,12월,오세영,http://www.kthcorp.com,서울특별시
서희건설,035890,건물 건설업,"토목, 건축, 부동산임대업",1999-12-24,12월,"곽선기,김팔수",http://www.seohee.co.kr,경기도
주성엔지니어링,036930,특수 목적용 기계 제조업,LP CVD,1999-12-24,12월,황철주,http://www.jseng.com,경기도
다우데이타,032190,기계장비 및 관련 물품 도매업,"NT SERVER, PC SERVER, 바이러스 백신프로그램, 그래픽 프로그램등",1999-12-21,12월,김익래,http://www.daoudata.co.kr,경기도
동진쎄미켐,005290,기초화학물질 제조업,"반도체,LCD용재료(감광제,봉지제),발포제",1999-12-21,12월,"이부섭, 이준혁",http://www.dongjin.com,인천광역시
선광,003100,기타 운송관련 서비스업,"항만하역, 해사(바다모래)",1999-12-21,12월,심충식(단독대표),http://www.sun-kwang.co.kr,인천광역시
씨티엘,036170,반도체 제조업,"업반도체제조용자동온도조절장치,항온항습기",1999-12-21,12월,손순종,http://www.ctlinc.co.kr,경기도
영인프런티어,036180,기계장비 및 관련 물품 도매업,"무선통신,방송및응용장치제조업",1999-12-21,12월,안여환,http://www.younginfrontier.com,서울특별시
제이에스티나,026040,귀금속 및 장신용품 제조업,"주얼리,가죽제품,손목시계",1999-12-21,12월,김기석,http://www.romanson.co.kr,서울특별시
한국팩키지,037230,"골판지, 종이 상자 및 종이 용기 제조업",카톤팩,1999-12-21,12월,"단재완, 이명신",http://www.hkpak.co.kr,경기도
삼지전자,037460,통신 및 방송 장비 제조업,"통신기기,정보기기,BACKLIGHTUNIT사업",1999-12-16,12월,"이기남, 박두진",http://www.samjielec.co.kr,서울특별시
우리조명,037400,전구 및 조명장치 제조업,"변환장치 제조업 백열전구, 형광등",1999-12-16,12월,"윤철주, 최규성 (각자대표)",http://www.wooree.co.kr,경기도
SK머티리얼즈,036490,기초화학물질 제조업,"반도체 및 디스플레이용 특수가스(NF3, SiH4, WF6 등)",1999-12-14,12월,임민규,http://www.sk-materials.com,경상북도
네패스,033640,반도체 제조업,반도체및TFT-LCD용현상액,1999-12-14,12월,이병구,http://www.nepes.co.kr,충청북도
에스에스컴텍,036500,기초화학물질 제조업,"반도체 포장재원료 및 고기능성, 환경친화적 컴파운드생산",1999-12-14,12월,전재석,http://www.u-onecomt.com,충청북도
인지디스플레,037330,전자부품 제조업,"TFT-LCDCHASSIS,TFT-LCDLAMPREFLECTOR,ICLEADFRAME,TRLEADFRAME",1999-12-14,12월,정혜승,http://www.inzidisplay.co.kr,경기도
위지트,036090,특수 목적용 기계 제조업,LCD 반도체,1999-12-10,12월,김상우,http://www.wizit.co.kr,인천광역시
유니셈,036200,특수 목적용 기계 제조업,반도체장비(DryGasScrubber),1999-12-10,12월,김형균,http://www.unisem.co.kr,경기도
유성티엔에스,024800,육상 여객 운송업,"운송,C형강,차량정비",1999-12-10,12월,손현곤,http://www.yoosungtns.co.kr,서울특별시
이매진아시아,036260,"영화, 비디오물, 방송프로그램 제작 및 배급업",연예인 매니지먼트,1999-12-10,12월,심재현,http://www.wellmadestarment.com,서울특별시
코리아나,027050,기타 화학제품 제조업,화장품,1999-12-10,12월,유학수,http://www.coreana.co.kr,충청남도
SCI평가정보,036120,기타 사업지원 서비스업,"채권추심,신용평가,신용조회",1999-12-07,12월,조강직,http://www.sci.co.kr,서울특별시
에이원앤,035290,"서적, 잡지 및 기타 인쇄물 출판업","방과후컴퓨터상설반,교재및CD",1999-12-07,12월,우국환,http://www.edubox.co.kr,서울특별시
서울전자통신,027040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전자변성기, 무역업(트랜스포머자재)",1999-12-03,12월,김상열,http://www.seoulset.com,인천광역시
대성창투,027830,투자기관,투자서비스,1999-11-30,12월,"김영훈, 강명구(공동대표이사)",http://www.daesungpe.com,서울특별시
예림당,036000,"서적, 잡지 및 기타 인쇄물 출판업",무선가입자망 단말기 및 차량용핸즈프리,1999-11-30,12월,나성훈,http://yearim.co.kr,서울특별시
CJ오쇼핑,035760,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,12월,허민회,http://www.cjmall.com,서울특별시
이지바이오,035810,동물용 사료 및 조제식품 제조업,발효식품,1999-11-23,12월,"지원철, 김지범 (각자대표)",http://www.easybio.co.kr,서울특별시
기산텔레콤,035460,통신 및 방송 장비 제조업,"광모듈, 에코 켄슬러, 중계기, VoIP Server등",1999-11-18,12월,박병기,http://www.kisantel.co.kr,서울특별시
마제스타,035480,유원지 및 기타 오락관련 서비스업,카지노,1999-11-18,12월,김형전,http://www.majestar.asia,제주특별자치도
카카오,035720,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",인터넷 서비스(인터넷 광고),1999-11-11,12월,임지훈,http://www.kakao.com,제주특별자치도
바른손이앤에이,035620,소프트웨어 개발 및 공급업,게임 개발 및 서비스,1999-08-13,12월,"윤용기, 곽신애",http://www.barunsongames.com,서울특별시
솔본,035610,부동산 임대 및 공급업,인터넷전화 서비스 및 00770 국제전화서비스,1999-08-13,12월,홍 기 태,http://www.solborn.co.kr,서울특별시
시공테크,020710,전문디자인업,"전시,영상,테마파크,멀티미디어관련업",1999-08-13,12월,박기석,http://www.tst.co.kr,경기도
신일제약,012790,의약품 제조업,투어펜플라스타,1999-08-13,12월,정미근,http://www.sinilpharm.com,충청북도
조아제약,034940,의약품 제조업,"의약품,의약부외품,보건보조식품,위생용품의제조판매",1999-08-13,12월,"조성환, 조성배(각자대표)",http://www.choa.co.kr,서울특별시
인성정보,033230,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",넷트워크 관련 장비 및 솔루션,1999-07-30,12월,원종윤,http://www.insunginfo.co.kr,서울특별시
인터파크홀딩스,035080,"회사본부, 지주회사 및 경영컨설팅 서비스업",지주회사,1999-07-05,12월,이 기 형,http://www.interpark.com,서울특별시
동국산업,005160,1차 철강 제조업,"철강무역,강판제품제조",1999-06-25,12월,"장세희, 안상철",http://www.dongkukins.co.kr,서울특별시
매일유업,005990,낙농제품 및 식용빙과류 제조업,유제품,1999-05-14,12월,"김정완, 김선희",http://www.maeil.com,서울특별시
해성산업,034810,부동산 임대 및 공급업,시설관리 용역 및 부동산 임대,1999-04-16,12월,"단재완,김인중 (각자대표이사)",http://www.haesungind.co.kr,서울특별시
녹십자셀,031390,기초 의약물질 및 생물학적 제제 제조업,항암세포치료제,1998-09-25,12월,한상흥,http://www.greencrosscell.com,서울특별시
코리드,033430,기타 전문 도매업,몰리브덴 등,1998-05-25,12월,김홍철,http://www.korid.co.kr,경기도
한국정보통신,025770,전기통신업,신용카드조회기,1998-01-20,12월,권순배,http://www.kicc.co.kr,서울특별시
파라텍,033540,특수 목적용 기계 제조업,소방기기,1997-12-26,12월,"오선영, 안계환(각자대표)",http://www.paradise-ind.co.kr,경기도
동성화인텍,033500,기초화학물질 제조업,초저온 보냉재,1997-12-19,12월,이충동,http://www.dsfinetec.co.kr,경기도
드래곤플라이,030350,소프트웨어 개발 및 공급업,온라인게임,1997-11-10,12월,박철우,http://www.dragonflygame.com,서울특별시
디케이디앤아이,033310,기타 금속가공제품 제조업,산업용자동제어반기기,1997-11-10,12월,서홍민,http://www.dkdni.co.kr,서울특별시
엠케이전자,033160,전자부품 제조업,반도체용세금선,1997-11-10,12월,이진,http://www.mke.co.kr,경기도
제이씨현시스템,033320,기계장비 및 관련 물품 도매업,"메인보드, 그래픽카드",1997-11-10,12월,"차현배, 차중석",http://www.jchyun.com,서울특별시
포스코엠텍,009520,1차 철강 제조업,대강등포장재료,1997-11-10,12월,이희명,http://www.sjpna.co.kr,경상북도
스페코,013810,특수 목적용 기계 제조업,아스팔트믹싱플랜트,1997-11-03,12월,김호열,http://www.speco.co.kr,서울특별시
좋은사람들,033340,봉제의복 제조업,패션내의,1997-11-03,12월,윤우환,http://www.goodpeople.co.kr,서울특별시
모아텍,033200,전자부품 제조업,위치제어용초정및소형모터,1997-10-13,12월,유석권,http://www.moatech.co.kr,인천광역시
코웰패션,033290,전자부품 제조업,"콘덴서,저항기",1997-10-13,12월,"최용석,이순섭",http://www.pilkor.co.kr,경기도
코콤,015710,통신 및 방송 장비 제조업,비디오도어폰,1997-09-30,12월,고성욱,http://www.kocom.com,서울특별시
이디,033110,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자계측기,1997-08-18,12월,"김태균,박용후(공동 대표이사) 김용빈(각자 대표이사)",http://www.ed.co.kr,경기도
제룡전기,033100,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","송배전용금구류,변압기",1997-08-18,12월,박종태,http://www.cheryong.co.kr,서울특별시
제이엠아이,033050,기록매체 복제업,CD복제품,1997-08-18,12월,정광훈,http://www.jmikorea.co.kr,경기도
디지틀조선,033130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",위성서비스,1997-08-06,12월,김찬,http://www.chosun.com,서울특별시
바이온,032980,플라스틱제품 제조업,"배너,타포린,화장품,자동차부품",1997-08-06,12월,김병준,http://www.by-on.co.kr,충청북도
와이지-원,019210,기타 금속가공제품 제조업,"엔드밀, 탭, 드릴",1997-08-06,12월,송호근,http://www.yg1.co.kr,인천광역시
특수건설,026150,토목 건설업,보링,1997-08-06,12월,김중헌,http://www.tuksu.co.kr,서울특별시
하림홀딩스,024660,"회사본부, 지주회사 및 경영컨설팅 서비스업",비금융지주회사,1997-08-06,12월,김홍국,http://www.harimgroup.com,전라북도
아이즈비전,031310,무점포 소매업,"홈쇼핑(아이즈홈쇼핑), 국제전화(아이즈텔), 가정용유무선 전화기판매(TopPhone)",1997-07-25,12월,이통형,http://www.eyesvision.com,서울특별시
동일기연,032960,전자부품 제조업,EMI,1997-07-18,12월,손동준,http://www.dongiltech.co.kr,경기도
소프트센,032680,기계장비 및 관련 물품 도매업,전산기기 및 정보통신공사,1997-07-18,12월,김 재 홍,http://www.softcen.co.kr,서울특별시
원익,032940,기계장비 및 관련 물품 도매업,반도체용석영,1997-07-18,12월,이창진,http://www.wonik.co.kr,경기도
원풍물산,008290,봉제의복 제조업,남성용신사복,1997-07-18,12월,"이원기,이두식",http://www.wonpung.com,인천광역시
삼진,032750,통신 및 방송 장비 제조업,리모트컨트롤러,1997-07-14,12월,김승철,http://www.samjin.com,경기도
GMR 머티리얼즈,032860,금속 및 비금속 원료 재생업,철스크랩,1997-07-04,12월,김동은,http://www.gmrmaterials.com,충청남도
비트컴퓨터,032850,소프트웨어 개발 및 공급업,의료정보시스템,1997-07-04,12월,"전 진 옥, 조 현 정",http://www.bit.co.kr,서울특별시
엠젠플러스,032790,기계장비 및 관련 물품 도매업,코일,1997-06-26,12월,심영복,http://www.giblue.co.kr,서울특별시
판타지오,032800,창작 및 예술관련 서비스업,교육서비스,1997-06-26,12월,"워이지에, 나병준",http://fantagio.kr,서울특별시
유비케어,032620,소프트웨어 개발 및 공급업,"의사랑,유팜,미소몰",1997-05-02,12월,이상경 대표이사,http://www.ubcare.co.kr,서울특별시
피델릭스,032580,반도체 제조업,PSRAM 및 LPSDRAM,1997-04-22,12월,안승한,http://www.fidelix.co.kr,경기도
TJ미디어,032540,영상 및 음향기기 제조업,영상음향반주기,1997-04-16,12월,윤재환,http://www.taijinmedia.co.kr,서울특별시
휴맥스홀딩스,028080,"회사본부, 지주회사 및 경영컨설팅 서비스업",위성방송수신기,1997-04-16,12월,변대규,http://www.humaxdigital.com,경기도
삼일,032280,도로 화물 운송업,운송및하역수입,1997-03-15,12월,홍 상 복,http://www.samil31.co.kr,경상북도
뉴인텍,012340,전자부품 제조업,콘덴서,1997-02-12,12월,장기수,http://www.nuin.co.kr,충청남도
오스템,031510,자동차 부품 제조업,휠,1997-02-12,12월,김정우,http://www.yyauto.co.kr,충청남도
C&S자산관리,032040,기타 사업지원 서비스업,경비,1997-01-23,12월,박 기준,http://www.shincheon.co.kr,서울특별시
에스마크,030270,방적 및 가공사 제조업,"면사,혼방사,코마사",1997-01-17,12월,"송정화, 이동이",http://www.kahee.co.kr,충청북도
에이모션,031860,상품 종합 도매업,FLC,1997-01-07,12월,이종해,http://www.a-motion.co.kr,서울특별시
피에스케이,031980,특수 목적용 기계 제조업,감광액제거기,1997-01-07,12월,박경수,http://www.psk-inc.com,경기도
세보엠이씨,011560,건물설비 설치 공사업,"건설관련설비, ACESS FLOOR , 소음기 , CHAMMBER , PFP UNIT, BY-PASS UNIT , DUCT , 철구조물 .",1996-12-23,12월,"김우영, 김진호(각자 대표이사)",http://www.sebo21.co.kr,서울특별시
한일단조,024740,자동차 부품 제조업,단조품,1996-11-29,12월,권병호,http://www.hifg.co.kr,경상남도
양지사,030960,인쇄 및 인쇄관련 산업,다이어리,1996-10-24,06월,이현,http://www.yangjisa.com,경기도
보타바이오,026260,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",컴퓨터VGA보드,1996-09-24,12월,Chang Teh I,http://www.idn.co.kr,서울특별시
원익홀딩스,030530,특수 목적용 기계 제조업,가스캐비닛,1996-09-24,12월,이재헌,http://www.wonikholdings.kr,경기도
한글과컴퓨터,030520,소프트웨어 개발 및 공급업,오피스소프트웨어,1996-09-24,12월,"김상철, 이원필 (각자대표이사)",http://www.hancom.com,경기도
메이슨캐피탈,021880,기타 금융업,리스수입,1996-09-02,03월,강승태,http://www.kiccapital.com,전라북도
대호피앤씨,021040,1차 철강 제조업,냉간압조용선재,1996-08-27,12월,정경태,http://www.daehopnc.co.kr,경상남도
바른테크놀로지,029480,통신 및 방송 장비 제조업,"네트워크 통합사업,네트워크 장비, 光 전송장비, S/W 제조, 네트워크관리",1996-08-27,12월,김동섭,http://www.kdccorp.co.kr,서울특별시
스페로 글로벌,028040,일반 목적용 기계 제조업,규사,1996-07-27,12월,송한성,http://www.spero-global.com,충청북도
에이치엘비,028300,선박 및 보트 건조업,"각종 산업용 밸브류, 제지·제철용기계,기타 특수목적용 산업기계",1996-07-27,12월,박정민,http://www.hlbkorea.com,울산광역시
